Concept,Domain,Range,Requirement,Label,Definition,Comment,ISO 19111,IGN 2019,Proj4RDF,GeoSPARQL,PROJJSON,OGCJSON,Core Property?,IGN Definition,ISO Definition
,,,,,,,iso19111:ensembleAccuracy,,,,,,,,inaccuracy introduced through use of this collection of reference frames or datumsNote: It is an indication of the differences in coordinate values at all points between the various realizations that have been grouped into this datum ensemble.
,,,,,,,iso19111:frameReferenceEpoch,,,,,,,,epoch of coordinates that define a dynamic reference frame
,,,,,,,iso19111:greenwichLongitude,,,,,,,,"longitude of the prime meridian measured from the internationally-recognised reference meridian ('Greenwich meridian'), positive eastward Note 1: Default value: 0 degrees. Note 2: If the value of the prime meridian name is “Greenwich” then the value of greenwichLongitude is required to be 0 degrees."
,,,,,,,,ign:geodeticDatum,,,,,,"The geodetic datum used by a geodetic coordinate reference system. Cf. ISO 19111:2007:2007-07, table 10, named association DefiningDatum.",
,,,,,,,,ign:geographicElement,,,,,,"The geographic bounding box used for defining a domain of validity. Cf. ISO 19115-1:2014:2014-04, part 6.6.1 and table B.15 line 337.",
,,,,,,,iso19111:geoidModel,,,,,,,,
,,,,,,,,ign:greenwichLongitude,,,,,,"Indicates the longitude from Greenwich meridian. Cf. ISO 19111:2007:2007-07, table 35, attribute prime meridian Greenwich longitude.",
,,,,,,,,ign:includesSingleCRS,,,,,,"Indicates the single coordinate reference systems used by a compound coordinate reference system. Cf. ISO 19111:2007:2007-07, table 6, association role componentReferenceSystem.",
,,,,,,,,,geocrs:includesSRS,,,,,,
geosrs:linearCS,,,Coordinate Reference System Properties,Linear Coordinate System,,,iso19111:linearCS,,,,,,,,
geosrs:method,geosrs:CRS,geosrs:CoordinateOperation,Coordinate Reference System Properties,Method,,,iso19111:method,,,,method,method,SRS,,
,,,,,,,iso19111:modifiedCoordinate,,,,,,,,
,,,,,,,iso19111:origin,,,,,,,,
geosrs:ordinalCS,,,,,,,iso19111:ordinalCS,,,,,,,,
,,,,,,,,ign:parameter,,,,,,"The parameter associated to a given value. Cf. ISO 19111:2007:2007-07, table 55, association role parameter.",
geosrs:parameter,geosrs:Conversion,geosrs:OperationParameter,Coordinate Operation Properties,Parameter,Value of the datum-defining parameter,,iso19111:parameterValue,ign:parameter,,,parameter,parameterValue,CO,,
geosrs:primeMeridian,geosrs:Datum,geosrs:PrimeMeridian,Datum Properties,Prime meridian,"The prime meridian used by a geodetic datum. Cf. ISO 19111:2007:2007-07, table 34, association role primeMeridian.",,iso19111:primeMeridian,ign:primeMeridian,,,prime_meridian,primeMeridian,DATUM,"The prime meridian used by a geodetic datum. Cf. ISO 19111:2007:2007-07, table 34, association role primeMeridian.",
,,,,,,,iso19111:polarCS,,,,,,,,
,,,,,,,iso19111:semiMedianAxis,,,,,,,,length of the semi-median axis of a triaxial ellipsoidNote: This parameter is not required for a biaxial ellipsoid.
geosrs:sphericalCS,,,,,,,iso19111:sphericalCS,,,,,,,,
geosrs:sourceCRS,geosrs:CoordinateOperation,geosrs:CRS,Coordinate Operation Properties,Source CRS,"The coordinate reference system associated to the data used as input of a given operation. Cf. ISO 19111:2007:2007-07, table 42, named association Source.",,,ign:sourceCRS,geocrs:sourceCRS,,source_crs,sourceCRS,CO,"The coordinate reference system associated to the data used as input of a given operation. Cf. ISO 19111:2007:2007-07, table 42, named association Source.",
geosrs:targetCRS,geosrs:CoordinateOperation,geosrs:CRS,Coordinate Operation Properties,Target CRS,"The coordinate reference system associated to the data obtained as output of a given operation. Cf. ISO 19111:2007:2007-07, table 42, named association Target.",,,ign:targetCRS,geocrs:targetCRS,,target_crs,targetCRS,CO,"The coordinate reference system associated to the data obtained as output of a given operation. Cf. ISO 19111:2007:2007-07, table 42, named association Target.",
,,,,,,,,ign:usesMethod,,,,,,"The method used by an operation on coordinates. Cf. ISO 19111:2007:2007-07, table 43, association role method.",
,,,,,,,,ign:usesParameter,,,,,,"A parameter used by a method to perform an operation on coordinates. Cf. ISO 19111:2007:2007-07, table 48, association role parameter.",
,,,,,,,,ign:usesValue,,,,,,"A value used by an operation on coordinates. Cf. ISO 19111:2007:2007-07, table 43, association role parameterValue.",
,,,,,,,,ign:verticalCS,,,,,,"The vertical coordinate system used by a vertical coordinate reference system. Cf. ISO 19111:2007:2007-07, table 14, named association CoordinateSystem.",
,,,,,,,,ign:verticalDatum,,,,,,"The vertical datum used by a vertical coordinate reference system. Cf. ISO 19111:2007:2007-07, table 14, named association DefiningDatum.",
,,,,,,,iso19111:velocityModel,,,,,,,,
