Concept,Domain,Range,Requirement,Label,Definition,Comment,ISO 19111,IGN 2019,Proj4RDF,GeoSPARQL,PROJJSON,OGCJSON,Core Property?,IGN Definition,ISO Definition
geosrs:inverseFlattening,geosrs:Ellipsoid,xsd:double,Spheroid Properties,inverse flattening,"Indicates the inverse flattening value of an ellipsoid, expressed as a number or a ratio (percentage rate, parts per million, etc.). Cf. ISO 19111:2007:2007-07, table 37, attribute inverse flattening",,iso19111:inverseFlattening,ign:inverseFlattening,,,inverse_flattening,inverseFlattening,DATUM,"Indicates the inverse flattening value of an ellipsoid, expressed as a number or a ratio (percentage rate, parts per million, etc.). Cf. ISO 19111:2007:2007-07, table 37, attribute inverse flattening",
,,,,Is bound,,,,,geocrs:isBound,,,,,,
,,,,Is deprecated,Indicates whether the subject resource is deprecated.,,,,geocrs:isDeprecated,,,,,,
,,,,Is geocentric,Indicates whether the subject resource id geocentric.,,,,geocrs:isGeocentric,,,,,,
,,,,Is geographic,"Indicates whether the subject CRS strictly comprises a geodetic datum, without map function to the Cartesian plane.",,,,geocrs:isGeographic,,,,,,
,,,,Is projected,Indicates whether the subject CRS includes a map projection mapping points on the datum surface to the Cartesian plane.,,,,geocrs:isProjected,,,,,,
geosrs:isSphere,geosrs:Ellipsoid,xsd:boolean,Spheroid Properties,Is a sphere,"Indicates whether the ellipsoid is a sphere. Cf. ISO 19111:2007:2007-07, table 37, attribute ellipsoid=sphere indicator.",,iso19111:isSphere,ign:isSphere,geocrs:isSphere,,,,DATUM,,"Indicates whether the ellipsoid is a sphere. Cf. ISO 19111:2007:2007-07, table 37, attribute ellipsoid=sphere indicator."
,,,,,,,,,geocrs:isVertical,,,,,,
,,,,,,,iso19111:maximumOccurs,,,,,,,,
,,,,Method formula,"The formula used by a method to perform an operation on coordinates. Cf. ISO 19111:2007:2007-07, table 48, attribute coordinate operation method formula reference.",,,ign:methodFormula,,,,,,,"The formula used by a method to perform an operation on coordinates. Cf. ISO 19111:2007:2007-07, table 48, attribute coordinate operation method formula reference."
,,,,,,,iso19111:minimumOccurs,,,,,,,,
geosrs:semiMajorAxis,geosrs:Ellipsoid,xsd:double,Spheroid Properties,semi major axis,"Indicates the length of the semi major axis of an ellipsoid. Cf. ISO 19111:2007:2007-07, table 36, attribute length of semi-major axis.",,iso19111:semiMajorAxis,ign:semiMajorAxis,,,semi_major_axis,semiMajorAxis,SRS,"Indicates the length of the semi major axis of an ellipsoid. Cf. ISO 19111:2007:2007-07, table 36, attribute length of semi-major axis.",semi-diameter of the longest axis of an ellipsoid
geosrs:semiMinorAxis,geosrs:Ellipsoid,xsd:double,Spheroid Properties,semi minor axis,"Indicates the length of the semi minor axis of an ellipsoid. Cf. ISO 19111:2007:2007-07, table 37, attribute length of semi-minor axis.",,iso19111:semiMinorAxis,ign:semiMinorAxis,,,semi_minor_axis,semiMinorAxis,SRS,"Indicates the length of the semi minor axis of an ellipsoid. Cf. ISO 19111:2007:2007-07, table 37, attribute length of semi-minor axis.",semi-diameter of the shortest axis of an ellipsoid
,,,,North bound latitude,"Indicates the north bound longitude of a bounding box. Cf. ISO 19115-1:2014:2014-04, part 6.6.1 and table B.15.1 line 348.",,,ign:northBoundLatitude,,,,,,,"Indicates the north bound longitude of a bounding box. Cf. ISO 19115-1:2014:2014-04, part 6.6.1 and table B.15.1 line 348."
,,,,Operation version,"The version of an operation performed on coordinates. Cf. ISO 19111:2007:2007-07, table 42, attribute coordinate operation version.",,iso19111:operationVersion,ign:operationVersion,,,,,,,"The version of an operation performed on coordinates. Cf. ISO 19111:2007:2007-07, table 42, attribute coordinate operation version."
,,,,Parameter value,,,iso19111:parameterValue,,,,,,,,
,,,,Publication date,,,iso19111:publicationDate,,,,,,,,
,,,,Realisation method,,,iso19111:realizationMethod,,,,,,,,
,,,,Scope,"The scope of the referring object. Cf. ISO 19111:2007:2007-07, tables 4, 33 et 42, attribute scope.",,,ign:scope,geocrs:scope,,scope,,,,"The scope of the referring object. Cf. ISO 19111:2007:2007-07, tables 4, 33 et 42, attribute scope."
,,,,Source dimension,"The dimension of the coordinate reference system associated with the data used as input of an operation. Cf. ISO 19111:2007:2007-07, table 48, attribute dimension of source CRS.",,,ign:sourceDimension,,,,,,,"The dimension of the coordinate reference system associated with the data used as input of an operation. Cf. ISO 19111:2007:2007-07, table 48, attribute dimension of source CRS."
,,,,South bound latitude,"Indicates the south bound latitude of a bounding box. Cf. ISO 19115-1:2014:2014-04, part 6.6.1 and table B.15.1 line 347.",,,ign:southBoundLatitude,,,,,,,"Indicates the south bound latitude of a bounding box. Cf. ISO 19115-1:2014:2014-04, part 6.6.1 and table B.15.1 line 347."
,,,,Target dimension,"The dimension of the coordinate reference system associated with the data obtained as output of an operation. Cf. ISO 19111:2007:2007-07, table 48, attribute dimension of target CRS.",,,ign:targetDimension,,,,,,,"The dimension of the coordinate reference system associated with the data obtained as output of an operation. Cf. ISO 19111:2007:2007-07, table 48, attribute dimension of target CRS."
,,,,West bound longitude,"Indicates the west bound longitude of a bounding box. Cf. ISO 19115-1:2014:2014-04, part 6.6.1 and table B.15.1 line 345.",,,ign:westBoundLongitude,,,,,,,"Indicates the west bound longitude of a bounding box. Cf. ISO 19115-1:2014:2014-04, part 6.6.1 and table B.15.1 line 345."
