Concept,SuperClass,DisjointClass,Requirement,Label,Definition,ISO 19111,IGN 2019,Proj4RDF,GeoSPARQL,PROJJSON,OGCJSON,Core Class?,Who?,Definition IGN,Definition ISO
geosrs:OperationParameterValue,geosrs:GeneralParameterValue,,Coordinate operation parameters,Operation Parameter Value,"Value of a parameter used by a method to perform an operation on coordinates. See ISO 19111:2007:2007-07, table 55.",iso19111:OperationParameterValue,ign:OperationParameterValue,,,,OperationParameterValue,Core Ontology,,"Value of a parameter used by a method to perform an operation on coordinates. See ISO 19111:2007:2007-07, table 55.",
,,,,,,iso19111:uValue,,,,,,,,,
,,,,,,iso19111:uStringValue,,,,,,,,,
,,,,,,iso19111:uIntegerValue,,,,,,,,,
,,,,,,iso19111:uBooleanValue,,,,,,,,,
,,,,,,iso19111:uValueList,,,,,,,,,
,,,,,,iso19111:uIntegerValueList,,,,,,,,,
,,,,,,iso19111:uValueFile,,,,,,,,,
,,,,,,iso19111:uValueFileCitation,,,,,,,,,
,,,,,,iso19111:uGeographicObject,,,,,,,,,
geosrs:GeographicObject,iso19107:Geometry,,Coordinate operation categories,Geographic Object,Identifier of a geographic feature of which the coordinates are used as operation parameters.,iso19111:GeographicObject,,,,,,,,,
geosrs:RegisterOperations,,,Coordinate operation categories,Register Operations,Operations supported in the Coordinate Operations package.,iso19111:RegisterOperations,,,,,,Extension,,,
geosrs:ScaleOperation,geosrs:AffineTransformationOperation,,Coordinate operation categories,Scale Operation,Scale transformation operation,,,geocrs:ScaleOperation,,,,Extension,,,
geosrs:RotationOperation,geosrs:AffineTransformationOperation,,Coordinate operation categories,Rotation Operation,Rotation transformation operation,,,geocrs:RotationOperation,,,,Extension,,,
geosrs:IdentityOperation,geosrs:AffineTransformationOperation,,Coordinate operation categories,Identity Operation,Identity transformation operation,,,geocrs:IdentityOperation,,,,Extension,,,
geosrs:ShearOperation,geosrs:AffineTransformationOperation,,Coordinate operation categories,Shear Operation,Shear transformation operation,,,geocrs:ShearOperation,,,,Extension,,,
geosrs:TranslationOperation,geosrs:AffineTransformationOperation,,Coordinate operation categories,Translation Operation,Translation transformation operation,,,geocrs:TranslationOperation,,,,Extension,,,
geosrs:AffineTransformationOperation,geosrs:CoordinateTransformationOperation ,,Coordinate operation categories,Affine Transformation Operation,Affine coordinate transformation operation,,,geocrs:AffineTransformationOperation,,,,Extension,,,
geocrs:CoordinateTransformationOperation,geosrs:SingleOperation,,Coordinate operation categories,Coordinate Transformation Operation,Coordinate operation in which the two coordinate reference systems are based on different datums.,,,geocrs:SingleOperation,,,,Extension,,,
